Valenti	보아 (BoA)			
늘..(Waiting..)	보아 (BoA)			
그렇게 있어 줘	산들 (B1A4)			
집	산들 (B1A4)			
겨울 편지 (심장어택 큐피드)	산들 (B1A4)			
같이 걷는 길	산들 (B1A4)			
응급실 (꽃피는 오골계)	산들 (B1A4)			
왜요 왜요	샤넌			
I Know	샤넌			
기억해 사랑해	샤넌			
Hate you	샤넌			
새벽비	샤넌			
그때 그날처럼	서은광 (비투비)			
바람이 분다 (오늘 밤엔 어둠이 무서워요 석봉이)	서은광 (비투비)			
눈물 (어늘 밤엔 어둠이 무서워요 석봉이)	서은광 (비투비)			
몰라	서은광 (비투비)			
기다릴게요	서현 (SEOHYUN)			
아파도 괜찮아요	서현 (SEOHYUN)			
Sixteen Going On Seventeen	서현 (SEOHYUN)			
일월지가 (日月之歌)	선예 (Wonder Girls)			
사랑 소리	선예 (Wonder Girls)			
Maybe	선예 (Wonder Girls)			
사랑합니다	선예 (Wonder Girls)			
I Akilla You	성민 (SungMin)			
OH WA	성민 (SungMin)			
뭐라고 끝낼까	소연 (티아라)			
Diamond	소유			
I Miss You	소유			
내게 말해줘 	소유			
한번만	소유			
사랑한다 말할까	소유			
널 사랑하지 않아	소정			
그대 돌아오면 (우리의 밤은 당신의 낮보다 아름답다)	소정			
귀로	소정			
아끼지마 (Don`t Be Shy)	소정			
빗속에서	소정			
Finale	소진 (걸스데이)			
나 돌리고 싶어	소진 (걸스데이)			
여름안에서 (Feat. 지조)	소진 (걸스데이)			
아찔아찔	소진 (걸스데이)			
매일 그대와	소진 (걸스데이)			
집으로 가는 길	소향			
홀로 아리랑	소향			
그대는 어디에 (원곡가수 임재범)	소향			
살다가 (원곡가수 SG워너비)	소향			
인연 (원곡가수 이선희)	소향			
MS.BURGUNDY (미스 버건디)	손승연			
첫눈이 온다구요	손승연			
가슴아 가슴아	손승연			
미운오리새끼	손승연			
물들어	손승연			
그리움만 쌓이네	솔라 (마마무)			
꿈에	솔라 (마마무)			
바보처럼 살았군요	솔라 (마마무)			
내 곁에 없는 그대	솔지 (EXID)			
너랑 나랑	솔지 (EXID)			
처음 그 느낌처럼	솔지			
내게 남은 사랑을 드릴께요	솔지			
미워서 (Feat. 수호)	솔지			
바비돌	송지은			
예쁜 나이 25살	송지은			
희망고문	송지은			
오아시스	송지은			
사랑은 창 밖에 빗물 같아요 (토끼라서 행복해요)	송지은			
눈사람	수현 (U-Kiss)			
First Kiss	써니 (소녀시대)			
그대 인형	써니 (소녀시대)			
두 번째 서랍 (The 2nd Drawer)	써니 (소녀시대)			
사랑을 몰라요 (Wang Ji Ta)	써니 (소녀시대)			
Sunny	써니 (소녀시대)			
나만 몰랐던 이야기	아이유			
마음	아이유			
스물셋	아이유			
좋은 날	아이유			
너랑 나	아이유			
또 생각이 나서 (With 임창정)	알리 (ALi)			
별 짓 다해봤는데	알리 (ALi)			
서약 (황금무지개 유이&정일우 러브테마)	알리 (ALi)			
지우개	알리 (ALi)			
365일	알리 (ALi)			
그 사람을 아껴요	양요섭			
안돼	양요섭			
하던 대로 해	양요섭			
그대는 모르죠	양요섭			
왜 모르니	양요섭			
If You	에일리			
첫눈처럼 너에게 가겠다	에일리			
 까꿍	에일리			
 I Need You	에일리			
사랑이니까	에일리			
너 아니면 안돼	예성 (YESUNG)			
문 열어봐 (Here I am)	예성 (YESUNG)			
Between	예성 (YESUNG)			
사랑 참 아프다	예성 (YESUNG)			
달의 노래 (My Dear)	예성 (YESUNG)			
아름다운 이별	옥주현			
진이	옥주현			
천일동안 (이승환)	옥주현			
온 세상 내 것이었을 때	옥주현			
Moonlight	온유 (ONEW)			
In Your Eyes	온유 (ONEW)			
슬픔 속에 그댈 지워야만 해 (Because I Love You)	웬디 (SMROOKIES)			
아나요 (Let You Know)	웬디 (SMROOKIES)			
I Have Nothing	유지 (베스티)			
걷던 그 길 (Prod. by 40)	유지 (베스티)			
길	유지 (베스티)			
기억상실 (아이 러브 커피)	유지 (베스티)			
U-Go-Girl	유지 (베스티)			
또 사랑하고 만다	육성재 (비투비)			
오래전 그 날 (난 이제 지쳤어요 땡벌) (Bonus Track)	육성재 (비투비)			
우산	윤하 (YOUNHA)			
오늘 헤어졌어요	윤하 (YOUNHA)			
우리가 헤어진 진짜 이유	윤하 (YOUNHA)			
괜찮다	윤하 (YOUNHA)			
내 남자친구를 부탁해	윤하 (YOUNHA)			
"1,2,3,4 (원,투,쓰리,포)"	이하이			
MY STAR	이하이			
손잡아 줘요	이하이			
한숨	이하이			
Rose	이하이			
Can You Hear Me_	이해리 (다비치)			
그때 난 사는거야	이해리 (다비치)			
나는 문제 없어	이해리 (다비치)			
사랑하는 사람아	이해리 (다비치)			
너에게	이해리 (다비치)			
가슴이 시린 게	이현			
그대 사랑	이현			
그대라서	이현			
너니까	이현			
사랑했지만 (상감마마 납시오)	이현			
Jump	이홍기 (FT 아일랜드)			
말이야	이홍기 (FT 아일랜드)			
너를 위해	이홍기 (FT 아일랜드)			
눈치 없이 (INSENSIBLE)	이홍기 (FT 아일랜드)			
비가 와요 (IN THE RAIN)	이홍기 (FT 아일랜드)			
It`s Me	장현승			
니가 처음이야 (Feat. 기리보이)	장현승			
야한 농담	장현승			
나와	장현승			
사랑한다고	장현승			
내가 해	전지윤			
사랑과 우정사이	전지윤			
자석 (Feat. 올티)	전지윤			
오아시스	전지윤			
바꾸지 마 (This Ain`t Me) (Feat. 정일훈 Of BTOB)	전지윤			
사랑 (신명난다 에헤라디오)	정동하			
꽃이 핀다 (신명난다 에헤라디오)	정동하			
발걸음 (신명난다 에헤라디오)	정동하			
이젠 그랬으면 좋겠네	정동하			
주문 (Mirotic) (신명난다 에헤라디오)	정동하			
귀여운 넌	정아 (애프터스쿨)			
그리워서...	정용화 (CNBLUE)			
넌 내게 반했어	정용화 (CNBLUE)			
"별, 그대"	정용화 (CNBLUE)			
입김 (Hello)	정용화 (CNBLUE)			
어느 멋진 날	정용화 (CNBLUE)			
그대라구요	정은지			
사랑은 바람처럼	정은지			
It`s OK	정은지			
Home	정은지			
사랑이란	정은지			
겨울 너야	제아			
미아 	제아			
You o`clock	제아			
눈물섬	제아			
그대가 잠든 사이	제아			
Heaven	조권			
고백하던 날	조권			
원숭이 (Performed By 조권(2AM))	조권			
횡단보도	조권			
괜찮아요	조권			
What`s Your Number_	조미 (ZHOUMI)			
Why (Color-blind) (Korean Ver.)	조미 (ZHOUMI)			
Half of Me	조미 (ZHOUMI)			
Without You	조미 (ZHOUMI)			
Falling	존박			
네 생각	존박			
이게 아닌데	존박			
Too Late	존박			
그 노래	존박			
사랑해 이 말 밖엔	종현 (JONGHYUN)			
좋아 (She is)	종현 (JONGHYUN)			
하루의 끝 (End of a day)	종현 (JONGHYUN)			
U & I	종현 (JONGHYUN)			
그래도 되지 않아_ (Fine)	종현 (JONGHYUN)			
alive pt2	준케이 (JUN. K)			
no shadow	준케이 (JUN. K)			
no goodbye	준케이 (JUN. K)			
phone call	준케이 (JUN. K)			
mary poppins	준케이 (JUN. K)			
Fire	준호			
눈을 감고	준호			
Like a star	준호			
CRUSH	준호			
INSANE	준호			
Black & White	지나			
Top Girl	지나			
2HOT	지나			
내 사람이라서	지나			
벌써 보고 싶어	지나			
내 꿈에서라도	지오 (MBLAQ)			
사랑무감증	지오 (MBLAQ)			
광화문연가 (아빠가 사온 붕어빵)	지오 (MBLAQ)			
내일이 안 올 것처럼	지오 (MBLAQ)			
너를 위해 (아빠가 사온 붕어빵)	지오 (MBLAQ)			
Moment	창민			
신기루	창민			
삼키지마	창민			
니가 있어야 할 곳 (남산위에 저 소나무)	창민			
부를 수 없는 나의 이름	창민			
오늘 같은 밤이면 (로맨틱 쌍다이아)	천지			
최고의 행운	첸 (CHEN)			
사랑했지만	첸 (CHEN)			
불꽃	초아 (AOA)			
아름다운 구속 (오매 단풍 들겄네)	초아 (AOA)			
아직 하지 못한 말	초아 (AOA)			
눈물 같은 사람	최강창민 (MAX)			
슬픔 속에 그댈 지워야만 해 (Because I Love You) (Acoustic Ver.)	최강창민 (MAX)			
사랑한다 그말을 못해서	최강창민 (MAX)			
꽃이 핀다	케이윌			
Love Blossom (러브블러썸)	케이윌			
그립고 그립고 그립다	케이윌			
오늘부터 1일 (Day 1)	케이윌			
눈물이 뚝뚝	케이윌			
그댈보면 (Male Ver.)	켄 (빅스)			
바보야	켄 (빅스)			
My Girl	켄 (빅스)			
사랑이라는 이름으로 (English Ver.)	켄 (빅스)			
melody (Moderato)	크리스탈 (Krystal)			
나 때문에	크리스탈 (Krystal)			
울컥	크리스탈 (Krystal)			
Ace	태민 (TAEMIN)			
Press Your Number	태민 (TAEMIN)			
Soldier	태민 (TAEMIN)			
Sexuality (Rearranged Ver.)	태민 (TAEMIN)			
"눈, 코, 입"	태양			
새벽한시 (1AM)	태양			
You`re My	태양			
이게 아닌데	태양			
버리고	태양			
11_11	태연 (TAEYEON)			
Rain	태연 (TAEYEON)			
Why	태연 (TAEYEON)			
U R	태연 (TAEYEON)			
들리나요...	태연 (TAEYEON)			
인형의 꿈	태일 (블락비)			
흔들리다 (Prod. By 40)	태일 (블락비)			
I Just Wanna Dance	티파니 (TIFFANY)			
나 혼자서	티파니 (TIFFANY)			
Talk About Love	티파니 (TIFFANY)			
TALK	티파니 (TIFFANY)			
What Do I Do	티파니 (TIFFANY)			
그앤 나	한승연			
잘 있니	한승연			
혼자 사랑 할까요	한승연			
Guilty	한승연			
사랑 때문에	한승연			
Truth	핫펠트 (예은)			
Ain`t Nobody	핫펠트 (예은)			
Wherever Together	핫펠트 (예은)			
Peter Pan	핫펠트 (예은)			
꿈이라고 생각해	허가윤 (4minute)			
내사랑 내곁에 (With 일훈 Of 비투비)	허가윤 (4minute)			
뻔뻔한 거짓말	허가윤 (4minute)			
바람 불어라	허가윤 (4minute)			
들어와	허가윤 (4minute)			
너는 나니까 (only you)	허영생			
잊을 수 없다	허영생			
Hello (참 외롭다)	허영생			
몸이 약한 아이	허영생			
사랑해요.. 미안해요..	허영생			
1-4-3 (I Love You) (Acoustic Ver.)	헨리			
My Everything	헨리			
길#거짓말	헨리			
I Would	헨리			
자꾸자꾸 (You)	헨리			
배반의 장미	현영 (레인보우)			
나를 너에게 줄게	현영 (레인보우)			
향기에 취해	현영 (레인보우)			
Tomorrow	환희			
심장을 놓쳐서	환희			
가슴 아파도	환희			
내사람	환희			
죽을 것만 같아	환희			
Lonely	효린			
Paradise	효린			
서로의 눈물이 되어	효린			
너 밖에 몰라 (One Way Love)	효린			
미치게 만들어	효린			
